[CAT]	Count	PRC_Count	Points	PRC_points
[???]	6	9.23076923076923	71	7.3347107438016526
[COLOR]	2	3.076923076923077	20	2.0661157024793386
[DISCAPACIDAD]	1	1.5384615384615385	12	1.2396694214876034
[EDAD]	2	3.076923076923077	44	4.545454545454546
[EXTERIOR]	18	27.692307692307693	279	28.822314049586776
[FISICO]	6	9.23076923076923	68	7.024793388429752
[INTERIOR]	5	7.6923076923076925	48	4.958677685950414
[ITEM]	2	3.076923076923077	42	4.338842975206612
[LUGAR]	2	3.076923076923077	11	1.1363636363636365
[NSNC]	7	10.76923076923077	137	14.152892561983471
[PERSONALIDAD]	13	20.0	236	24.380165289256198
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	65	100.0	968	100.0
