Accept_Other_Status,count

[MASC]	 	[FEM]	[model_name]
52	>	48	BSC-TeMU/roberta-base-bne
38	>	33	BSC-TeMU/roberta-large-bne
51	>	39	dccuchile/bert-base-spanish-wwm-uncased
57	>	43	dccuchile/bert-base-spanish-wwm-cased
41	>	40	mrm8488/electricidad-base-generator
44	>	38	MMG/mlm-spanish-roberta-base
32	<	37	bertin-project/bertin-roberta-base-spanish
23	<	24	bert-base-multilingual-cased
40	>	38	bertin-project/bertin-base-random
32	>	30	bertin-project/bertin-base-stepwise
32	<	37	bertin-project/bertin-base-gaussian
41	<	49	bertin-project/bertin-base-random-exp-512seqlen
39	>	37	bertin-project/bertin-base-stepwise-exp-512seqlen
24	<	36	bertin-project/bertin-base-gaussian-exp-512seqlen
24	<	27	amine/bert-base-5lang-cased
24	<	26	Geotrend/bert-base-es-cased
3	>	2	mrm8488/RuPERTa-base
19	>	18	BSC-TeMU/RoBERTalex
22	>	19	Recognai/distilbert-base-es-multilingual-cased
17	<	19	flax-community/alberti-bert-base-multilingual-cased
22	>	20	Geotrend/distilbert-base-es-cased
