[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	101	100.0	12033	100.0	1.163802449792495	100.0
[TMP]	3	2.9702970297029703	327	2.717526801296435	0.0284667333849428	2.446010780439446
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	2	1.9801980198019802	98	0.8144269924374636	0.014772201156509774	1.2693048686350201
[QTY]	0	0.0	0	0.0	0	0.0
[PER]	1	0.9900990099009901	45	0.3739715781600598	0.010822094976902008	0.9298910634559653
[MIND]	7	6.930693069306931	523	4.346380786171362	0.05922446383283335	5.088876023881288
[FEEL]	6	5.9405940594059405	1931	16.047535942823902	0.11672908660196776	10.029974298711991
[BODY]	14	13.861386138613861	3183	26.45225629518823	0.2225072790613946	19.11899043528113
[BEHA]	36	35.64356435643565	4545	37.771129394166046	0.42932219427800733	36.889610805902244
[???]	32	31.683168316831683	1381	11.476772209756502	0.2819583964999376	24.227341723692927
