[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	125	100.0	12516	100.0	1.4415008160713512	100.0
[TMP]	5	4.0	363	2.900287631831256	0.04129402930113046	2.8646552843218434
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	2	1.6	125	0.9987216363055289	0.016128722054418176	1.1188840044069623
[QTY]	4	3.2	57	0.4554170661553212	0.06260672770440578	4.343162834623528
[PER]	2	1.6	12	0.09587727708533078	0.011003007646650076	0.7633022141907307
[MIND]	6	4.8	534	4.266538830297219	0.05312773972900227	3.6855851302114395
[FEEL]	7	5.6	1502	12.000639181847236	0.1030354099810011	7.147787141863197
[BODY]	10	8.0	2273	18.160754234579738	0.17261065939295694	11.974371257269762
[BEHA]	53	42.4	6072	48.513902205177374	0.6409168770271262	44.46177691205707
[???]	36	28.8	1578	12.607861936720997	0.34077764323466053	23.640475221055496
