[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	231	100.0	16210	100.0	3.537527004181923	100.0
[TMP]	5	2.1645021645021645	461	2.8439235040098705	0.11291586244478821	3.1919434766520114
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	10	4.329004329004329	228	1.406539173349784	0.158388088690117	4.4773676215864056
[QTY]	3	1.2987012987012987	115	0.7094386181369525	0.06718447897583246	1.899193388387132
[PER]	5	2.1645021645021645	233	1.4373843306600864	0.062222437733518224	1.758924742057413
[MIND]	10	4.329004329004329	1292	7.97038864898211	0.23740077884332522	6.7109248512500255
[FEEL]	12	5.194805194805195	1766	10.894509561998767	0.21356735339463512	6.037193585862789
[BODY]	14	6.0606060606060606	1678	10.351634793337446	0.19398339355942446	5.4835876398994285
[BEHA]	84	36.36363636363637	6967	42.9796421961752	1.17471418233317	33.207214558206054
[???]	88	38.095238095238095	3470	21.406539173349785	1.3171504282071134	37.233650136098774
