[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	68	100.0	2128	100.0	0.8554348365232747	100.0
[???]	62	91.17647058823529	2006	94.26691729323308	0.7770319274533317	90.83473039412397
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	1.4705882352941178	32	1.5037593984962405	0.015033503342419863	1.7574106992790013
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	1	1.4705882352941178	15	0.7048872180451128	0.010749079519882798	1.256563219189208
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	1	1.4705882352941178	2	0.09398496240601503	0.00710680428892374	0.8307826599402676
Arte Entret	1	1.4705882352941178	27	1.268796992481203	0.009901150595396757	1.1574406573898475
Agric/Caza	2	2.9411764705882355	46	2.161654135338346	0.03561237132331978	4.163072370077699
Admin. Aux	0	0.0	0	0.0	0	0.0
