[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	36	100.0	1953	100.0	1.1595351169931223	100.0
[???]	32	88.88888888888889	1824	93.394777265745	1.0856957720603213	93.63198717738888
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	2.7777777777777777	21	1.075268817204301	0.018526897579431535	1.5977866739797433
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	0	0.0	0	0.0	0	0.0
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	0	0.0	0	0.0	0	0.0
Arte Entret	3	8.333333333333334	108	5.529953917050691	0.05531244735336966	4.770226148631404
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	0	0.0	0	0.0	0	0.0
