[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	60	100.0	2466	100.0	1.0557846417293673	100.0
[???]	40	66.66666666666667	718	29.115977291159773	0.44613532672602946	42.25628116689244
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	1	1.6666666666666667	185	7.502027575020276	0.03089362323622812	2.926129251664866
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	0	0.0	0	0.0	0	0.0
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	1	1.6666666666666667	7	0.28386050283860503	0.026780923828482628	2.5365896386421833
Educación	2	3.3333333333333335	218	8.840227088402271	0.05589838456738778	5.2944873753634685
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	1	1.6666666666666667	80	3.2441200324412005	0.028164170780464223	2.667605652449303
Arte Entret	15	25.0	1258	51.013787510137874	0.4679122125907748	44.318906914987714
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	0	0.0	0	0.0	0	0.0
