[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	74	100.0	2209	100.0	2.0107335802065727	100.0
[???]	53	71.62162162162163	1156	52.33137166138524	1.4490368999225793	72.06508680149027
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	1	1.3513513513513513	10	0.4526935264825713	0.025128841400146484	1.249735004553158
Otros	1	1.3513513513513513	19	0.8601177003168855	0.025004206970334054	1.2435365488731354
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	2	2.7027027027027026	10	0.4526935264825713	0.0554947666823864	2.7599263884917633
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	1	1.3513513513513513	160	7.24309642372114	0.045847691483795645	2.2801475011465957
Func. Defen	0	0.0	0	0.0	0	0.0
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	3	4.054054054054054	266	12.041647804436396	0.11350496392697096	5.644952918889932
Educación	2	2.7027027027027026	143	6.473517428700769	0.06791927134900382	3.377835433674218
Construción	1	1.3513513513513513	11	0.49796287913082843	0.024240320548415184	1.2055461144645954
Comercio	1	1.3513513513513513	3	0.13580805794477138	0.016201590187847614	0.8057551904108123
CientTechProf	3	4.054054054054054	5	0.22634676324128564	0.03863540990278125	1.921458431047441
Arte Entret	4	5.405405405405405	292	13.218650973291082	0.09835227492398449	4.891362828579223
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	2	2.7027027027027026	134	6.0660932548664555	0.05136734290832752	2.5546568383788717
