[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	67	100.0	2224	100.0	1.7499138416418778	100.00000000000001
[???]	33	49.25373134328358	850	38.219424460431654	0.9019605994090889	51.543143322005704
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	3	4.477611940298507	39	1.7535971223021583	0.06101447315886617	3.486712985915844
Otros	1	1.492537313432836	1	0.044964028776978415	0.017066597938537598	0.975282184323124
Logistica	2	2.985074626865672	144	6.474820143884892	0.06071348728514031	3.4695129463159824
Inst Manufac	1	1.492537313432836	8	0.3597122302158273	0.018727180548012257	1.0701772911540177
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	1	1.492537313432836	17	0.7643884892086331	0.02586747519671917	1.4782142172467587
Hosteleria	2	2.985074626865672	269	12.095323741007194	0.0717395646031946	4.099605528914731
Func. Defen	1	1.492537313432836	102	4.586330935251799	0.03480145605280995	1.9887525445342535
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	1	1.492537313432836	3	0.13489208633093525	0.022177675738930702	1.2673581527946673
Educación	1	1.492537313432836	20	0.8992805755395683	0.023709735367447138	1.3549087276891982
Construción	2	2.985074626865672	111	4.991007194244604	0.058071069967220806	3.318510236637418
Comercio	2	2.985074626865672	166	7.4640287769784175	0.06179635296575725	3.5313940318213652
CientTechProf	6	8.955223880597014	179	8.048561151079136	0.13751172428241087	7.858199701614386
Arte Entret	7	10.447761194029852	166	7.4640287769784175	0.15321202240762563	8.75540376684332
Agric/Caza	1	1.492537313432836	46	2.068345323741007	0.02832771444486247	1.618806238956522
Admin. Aux	3	4.477611940298507	103	4.631294964028777	0.07321671227525386	4.184018123232708
