[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	93	100.0	1788	100.0	1.1961928253194565	100.0
[???]	83	89.24731182795699	1700	95.07829977628636	1.1018262613076342	92.11109095336526
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	1	1.075268817204301	5	0.2796420581655481	0.010340883396565914	0.86448298114514
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	1.075268817204301	8	0.44742729306487694	0.011472065933048725	0.9590482144870734
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	0	0.0	0	0.0	0	0.0
Construción	2	2.150537634408602	7	0.39149888143176736	0.02093452587723732	1.750096258238844
Comercio	2	2.150537634408602	28	1.5659955257270695	0.019401964172720908	1.6219763036565111
CientTechProf	1	1.075268817204301	10	0.5592841163310962	0.00801813198874394	0.6703043037064371
Arte Entret	3	3.225806451612903	30	1.6778523489932886	0.024198992643505335	2.0230009854007216
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	0	0.0	0	0.0	0	0.0
