[CAT]	Count	PRC_Count	Points	PRC_points
[???]	14	51.851851851851855	206	49.51923076923077
[COLOR]	0	0.0	0	0.0
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	7	25.925925925925927	106	25.48076923076923
[FISICO]	1	3.7037037037037037	5	1.2019230769230769
[INTERIOR]	0	0.0	0	0.0
[ITEM]	1	3.7037037037037037	50	12.01923076923077
[LUGAR]	0	0.0	0	0.0
[NSNC]	1	3.7037037037037037	17	4.086538461538462
[PERSONALIDAD]	2	7.407407407407407	32	7.6923076923076925
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	27	100.0	416	100.0
