Accept_Other_Status,count

[MASC]	 	[FEM]	[model_name]
30	>	29	BSC-TeMU/roberta-base-bne
16	<	17	BSC-TeMU/roberta-large-bne
25	>	21	dccuchile/bert-base-spanish-wwm-uncased
31	>	25	dccuchile/bert-base-spanish-wwm-cased
26	>	19	mrm8488/electricidad-base-generator
28	>	26	MMG/mlm-spanish-roberta-base
19	<	19	bertin-project/bertin-roberta-base-spanish
14	<	14	bert-base-multilingual-cased
17	<	21	bertin-project/bertin-base-random
17	>	15	bertin-project/bertin-base-stepwise
19	<	19	bertin-project/bertin-base-gaussian
17	<	21	bertin-project/bertin-base-random-exp-512seqlen
18	<	22	bertin-project/bertin-base-stepwise-exp-512seqlen
11	<	18	bertin-project/bertin-base-gaussian-exp-512seqlen
15	<	15	amine/bert-base-5lang-cased
16	<	17	Geotrend/bert-base-es-cased
10	>	8	BSC-TeMU/RoBERTalex
7	<	13	Recognai/distilbert-base-es-multilingual-cased
11	>	8	flax-community/alberti-bert-base-multilingual-cased
7	<	13	Geotrend/distilbert-base-es-cased
