Love (Inv -)	Status (Inv -)	Love (Inv +)	Status (Inv +)	Visible Positivo	Invisible positivo	Otros	Visible negativo
[Reject Other Love]	[Reject Other Status]	[Accept Other Love]	[Accept Other Status]	[Visible +]	[Invisible +]	[???]	[Visible -]
falso	básica	verdadero	aceptado	alta	VERDADERO	abandonado	gigante
aburrido	básico	abierta	acertado	altas	abierta	absoluta	baja
afectada	cansada	accesible	admirable	alto	accesible	absoluto	bajo
afectado	complicada	activa	aplicada	altos	aceptado	abundante	bajos
agresiva	complicado	activo	aplicado	atractiva	acertado	académico	corta
agresivo	condenada	activos	apto	atractivo	activa	aceptable	corto
ajena	corrupta	adecuada	autónoma	bella	activo	actual	enferma
amarga	corrupto	adecuado	avanzada	bello	activos	acusada	femenino
anormal	costosa	agradable	capacitado	blanca	adecuada	adoptada	gorda
arriesgado	costoso	agradecido	capaz	blanco	adecuado	adultos	gordo
arrogante	criminal	alegre	coherente	bonita	admirable	aficionado	lenta
aterrador	culpable	amable	competente	bonito	agradable	alemán	lento
ausente	deficiente	amistoso	completa	brillante	agradecido	alemana	lesionado
callado	dependiente	amoroso	completo	británica	alegre	alternativa	masculina
confuso	derrotado	apasionada	comprometida	divina	amable	amarilla	redonda
cruel	desconocido	apropiada	concentrado	divino	amistoso	amarillo	seco
débil	desesperada	apropiado	conocida	elegante	amoroso	ambiental	sucio
desagradable	detenida	atenta	conocido	enorme	apasionada	amenazada	
dominante	detenido	atento	constante	femenina	aplicada	americana	
dramática	difícil	auténtica	conveniente	fina	aplicado	americano	
dura	difíciles	auténtico	cualificada	fuerte	apropiada	amigas	
duro	enemigo	buena	cualificado	fuertes	apropiado	amplia	
estricta	equivocada	buenas	cultural	grande	apto	amplio	
excesiva	equivocado	bueno	curiosa	grandes	atenta	antigua	
excesivo	escasa	buenos	dedicada	guapa	atento	antiguo	
exigente	espantoso	cariñoso	dedicado	guapo	auténtica	antiguos	
explosiva	estúpido	cercano	determinada	hermosa	auténtico	aprobada	
falsa	extraña	civil	determinado	hermoso	autónoma	aprobado	
fría	extraño	clara	determinante	larga	avanzada	árabe	
frío	extraños	claro	diferente	largo	buena	argentina	
incómoda	extrema	considerada	disponible	masculino	buenas	argentino	
indiferente	fatal	considerado	distinta	mona	bueno	artificial	
inestable	feroz	contento	distinta	pequeña	buenos	asesinado	
infantil	firme	correcta	económica	pequeño	capacitado	autónomo	
insoportable	flojo	correcto	económico	rubia	capaz	azul	
intensa	frágil	curioso	educativo	rubio	cariñoso	barata	
intenso	genérico	directa	efectivo	sexy	cercano	barato	
loca	horrible	divertida	eficaz	lindo	civil	biológica	
loco	ilegal	divertido	eficiente		clara	biológico	
locos	implacable	emocionante	esencial		claro	blancos	
mala	imposible	encantador	especial		coherente	brasileña	
malas	inferior	entusiasta	espectacular		competente	breve	
malo	injusta	equilibrada	esperada		completa	británico	
malos	injusto	equilibrado	esperado		completo	buen	
molesto	inmortal	espontánea	excelente		comprometida	caballero	
pesada	inútil	estable	excepcional		concentrado	caliente	
seria	invisible	fácil	exitosa		conocida	callada	
serio	irregular	familiar	exitoso		conocido	cantante	
severa	limitada	felices	experimentado		considerada	caro	
severo	limitado	feliz	extraordinaria		considerado	casada	
	mediocre	fiable	famosa		constante	catalán	
	negativa	fiel	famoso		contento	catalana	
	negativo	flexible	fantástico		conveniente	céntrica	
	nerviosa	genial	formado		correcta	cercana	
	nervioso	gentil	formal		correcto	cerrado	
	nula	honesto	fresco		cualificada	china	
	nulo	inocente	funcional		cualificado	chino	
	ofensivo	maravilloso	fundamental		cultural	ciclista	
