# NO RETOCAR A MANO. PEGAR EN EXCEL/DESDE EXCEL
Como te relacionas con los demás	Como te perciben los demás	Como te percibes a ti mismo	Aspecto fisico	lugar	discapacidad	edad	religión	color	objeto	nsnc
[PERSONALIDAD]	[EXTERIOR]	[INTERIOR]	[FISICO]	[LUGAR]	[DISCAPACIDAD]	[EDAD]	[RELIGION]	[COLOR]	[ITEM]	[NSNC]
FALSO	adecuada	homosexual	alta	alemán	ciega	mayor	cristiana	azul	antigua	actual
VERDADERO	adecuado	religiosa	alto	alemana	ciego	menor	cristiano	blanca	antiguo	buen
aburrido	apropiado	saludable	atractiva	americana	muda	vieja	judía	blanco	barato	cantante
activa	brillante	pobre	atractivo	americano	retrasado	viejo		clásico	bonito	cierta
agradable	capaz	rica	baja	británica	sordo			negra	caro	cierto
agradecido	complejo	rico	bajo	catalana	zurdo			negro	largo	definido
alegre	completa	feliz	bella	china				rojo	moderna	definitivo
amable	completo	estable	bello	chino					moderno	dicha
apasionada	complicado	inestable	bonita	español					nueva	enferma
arrogante	común	irregular	bonita	española					nuevo	esperado
atenta	confuso	liberal	bonito	estadounidense					nulo	este
atento	conocida	negativa	corto	francés						físico
auténtica	conocido	negativo	elegante	francesa						herido
autónoma	consciente	optimista	enorme	holandesa						histórica
buena	conveniente	positiva	gordo	inglés						igual
bueno	culpable	positivo	grande	inglesa						indicada
caballero	débil	satisfecha	guapa	italiana						indiferente
callado	débil	segura	guapo	italiano						irreversible
cariñoso	desconocido	seguro	hermosa	japonés						maestra
cercana	destruido	sensible	hermoso	japonesa						médico
cercano	determinado		joven	mexicano						mejor
correcto	diferente		lindo	negra						militar
crítico	difícil		mona	negro						mixto
curiosa	distinta		pequeña	polaca						obligatorio
curioso	distinto		pequeño	polaco						oficial
detenido	divino		rubia	portugués						parecido
divertida	ebrio		sexy	rusa						perdida
divertido	efectivo			ruso						perdido
dominante	especial			sueco						personal
dramática	espectacular			suizo						posible
dura	excelente									probable
duro	exitosa									público
emocionante	experto									reciente
encantador	extraña									siguiente
espontánea	extraño									suficiente
estricta	fácil									titular
familiar	famosa									utilizado
fiel	famoso									votada
generosa	femenina									votado
gentil	femenino									muerta
honesto	fuerte									muerto
humilde	fundamental									propietaria
independiente	ganadora									sostenible
infantil	genial									casada
inocente	humana									feroz
insoportable	humano									inmortal
intensa	ilegal									
intenso	importante									
interesante	imposible									
leal	imprescindible									
mala	impresionante									
malo	indispensable									
orgullosa	inferior									
paciente	insuficiente									
próximo	inteligente									
rara	invisible									
romántica	leal									
romántico	legal									
sencilla	libre									
sencillo	lista									
serio	loca									
severo	loco									
simpática	maduro									
sincera	mala									
tímida	malo									
tímido	maravilloso									
tranquila	masculina									
tranquilo	masculino									
triste	misterioso									
valiente	mortal									
violento	natural									
clara	necesario									
claro	neutral									
	normal									
	oportuno									
	original									
	peligrosa									
	peligroso									
	perfecto									
	plural									
	poderosa									
	poderoso									
	popular									
	potente									
	práctico									
	profesional									
	protagonista									
	puntual									
	querido									
	rápida									
	rápido									
	rara									
	raro									
	real									
	recomendable									
	responsable									
	sagrada									
	sagrado									
	salvaje									
	sensible									
	soltero									
	suicida									
	tonta									
	tonto									
	tradicional									
	única									
	único									
	útil									
	válido									
	valiente									
	violento									
	vivo									
