# NO RETOCAR A MANO. PEGAR EN EXCEL/DESDE EXCEL							
Como te relacionas con los demás	Como te perciben los demás	Como te percibes a ti mismo	Aspecto fisico	lugar o religión	color	objeto	nsnc
[PERSONALIDAD]	[EXTERIOR]	[INTERIOR]	[FISICO]	[LUGAR]	[COLOR]	[ITEM]	[NSNC]
abierta	abundante	ágil	alta	alemán	azul	antigua	actual
abierto	accesible	ambiciosa	alto	alemana	blanca	antiguo	buen
aburrido	acertado	comunista	altos	americana	blanco	barato	cantante
aceptable	activo	conforme	atractiva	americano	clásico	bonito	cierta
aceptado	activos	contento	atractivo	árabe	negra	caro	cierto
activa	acusada	creativa	baja	argentina	negro	largo	definido
agradable	adecuada	creativo	bajo	argentino	rojo	moderna	definitivo
agradecido	adecuado	decente	bajos	australiano	amarilla	moderno	dicha
agresiva	admirable	dependiente	bella	belga	amarillo	nueva	enferma
agresivo	amplia	ecologista	bello	brasileña	blancos	nuevo	esperado
alegre	amplio	estable	bonita	brasileño	gris	nulo	este
amable	anormal	ético	bonita	británica	roja		físico
amistoso	apasionado	felices	bonito	británico	rojas		herido
amoroso	aplicada	feliz	corto	catalán			histórica
apasionada	aplicado	homosexual	elegante	catalana			igual
arrogante	apropiada	independentista	enorme	cerrado			indicada
atenta	apropiado	independientes	gorda	china			indiferente
atento	apto	inestable	gordo	chino			irreversible
auténtica	arriesgado	irregular	grande	colombiana			maestra
autónoma	aterrador	liberal	guapa	cubana			médico
buena	básica	moral	guapo	danesa			mejor
bueno	básico	morales	hermosa	español			militar
caballero	brillante	motivada	hermoso	española			mixto
callado	buenas	motivado	joven	españoles			obligatorio
cariñoso	buenos	negativa	lindo	estadounidense			oficial
cercana	callada	negativo	mona	europea			parecido
cercano	capacitado	nerviosa	pequeña	europeo			perdida
clara	capaz	nervioso	pequeñas	francés			perdido
claro	competente	optimista	pequeño	francesa			personal
considerada	competitiva	pesimista	pequeños	hindú			posible
considerado	competitivo	pobre	rubia	hispanos			probable
correcto	compleja	positiva	rubio	holandesa			público
crítico	complejo	positivo	sexy	inglés			reciente
curiosa	completa	religiosa		inglesa			siguiente
curioso	completo	religioso		italiana			suficiente
desagradable	complicada	republicana		italiano			titular
detenido	complicado	republicano		japonés			utilizado
difíciles	comprometida	revolucionario		japonesa			votada
directa	común	rica		mexicana			votado
directo	confuso	rico		mexicano			muerta
divertida	conocida	saludable		musulmán			muerto
divertido	conocido	satisfecha		negra			propietaria
dominante	consciente	segura		negro			sostenible
dramática	conservador	seguro		norteamericana			casada
dura	conservadora	sensible		norteamericano			feroz
duro	constante	ciega		noruega			inmortal
educado	conveniente	ciego		noruego			abandonado
emocionante	cooperativa	muda		oriental			absoluta
encantador	correcta	retrasado		polaca			académico
espontánea	corriente	sordo		polaco			administrativo
estricta	corrupta	zurdo		portugués			adoptada
familiar	corrupto	mayor		portuguesa			adultos
fiel	criminal	menor		romana			afectada
firme	cualificada	vieja		romano			afectado
flexible	cualificado	viejo		rusa			aficionado
fría	culpable			ruso			ajena
frío	débil			sueco			altas
generosa	débil			suiza			alternativa
gentil	dedicada			suizo			amarga
honesto	dedicado			turco			ambiental
humilde	deficiente			vasco			amenazada
independiente	delicada			venezolana			amigas
infantil	derecha			venezolano			anónima
inocente	derecho			cristiana			anterior
insoportable	desconocido			cristiano			antiguos
intensa	destruido			judía			aprobada
intenso	detenida						aprobado
interesante	determinada						artificial
leal	determinado						asesinado
mala	diferente						ausente
malo	difícil						autónomo
ofensivo	distinta						avanzada
orgullosa	distinto						barata
paciente	divino						biológica
pacífica	ebrio						biológico
pacífico	educativa						breve
pesada	educativo						caliente
pesado	efectiva						cansada
próxima	efectivo						céntrica
próximo	eficaz						ciclista
rara	eficiente						científica
romántica	ejemplar						científico
romántico	elevada						civil
seca	elevado						clásica
seco	enemigo						coherente
sencilla	enemigos						comercial
sencillo	entregada						cómoda
serio	entusiasta						cómodo
severo	equilibrada						concedida
simpática	equilibrado						concentrado
sincera	equivocada						concreto
tímida	equivocado						condenada
tímido	esencial						confidencial
tranquila	espantoso						conjunto
tranquilo	especial						contrario
triste	espectacular						contratado
valiente	estúpido						convencida
violento	excelente						convencido
	exitosa						corta
	experto						costosa
	explosiva						costoso
	expresivo						crítica
	extraña						críticas
	extraño						críticos
	extraordinaria						cruel
	extrema						cubierta
	fácil						cuidado
	falsa						cultural
	falso						dado
	famosa						decisivo
	famoso						deportivo
	femenina						derrotado
	femenino						desaparecida
	fiable						desarrollado
	fino						desesperada
	flojo						desnudo
	formado						destruida
	formal						dicho
	frágil						digital
	fresco						digno
	fuerte						dinámico
	fuertes						directiva
	fundamental						directivo
	ganadora						disminuido
	genérico						disponible
	generoso						diversa
	genial						diverso
	hábil						divina
	horrible						doble
	humana						doméstica
	humano						dramático
	ideal						dudoso
	ilegal						económica
	imparcial						económico
	impecable						ejecutivo
	implacable						electo
	importante						eléctrica
	importantes						eléctrico
	imposible						electrónica
	imprescindible						electrónico
	impresionante						elegida
	improbable						elegido
	incapaz						elemental
	incómoda						eliminado
	incondicional						emocionada
	increíble						enamorado
	indicado						encarcelado
	indispensable						encargada
	inferior						encargado
	ingenuo						encontrada
	injusta						entera
	injusto						entero
	insuficiente						escasa
	inteligente						escolar
	inútil						escrita
	invisible						escrito
	irresponsable						esperada
	justa						espiritual
	leal						estéril
	legal						eterna
	legítima						eterno
	legítimo						evidente
	lenta						excepcional
	lento						excesiva
	libre						excesivo
	limitada						exigente
	limitado						exitoso
	lista						experimentado
	loca						extranjera
	loco						extranjero
	maduro						extraños
	mala						factible
	malas						fallecido
	malo						familiares
	malos						famosos
	maravilloso						fantástico
	masculina						farmacéutico
	masculino						fatal
	mediocre						favorable
	misterioso						favorito
	moderado						fija
	modesta						fijo
	molesto						fina
	mortal						finalista
	natural						física
	necesario						frecuente
	neutral						funcional
	normal						futuro
	ocupada						general
	ocupado						gigante
	oportuno						global
	ordenado						gran
	ordinario						grandes
	orgulloso						gratuita
	original						grave
	participante						habitual
	particular						hecho
	peculiar						humanos
	peligrosa						idéntico
	peligroso						identificado
	perdedor						ignorado
	perfecto						ilusionado
	perjudicial						indirecta
	persistente						individual
	plural						industrial
	poderosa						informático
	poderoso						iniciado
	polémica						inmediata
	popular						integral
	potente						intelectual
	práctica						interino
	práctico						interna
	precisa						internacional
	preciso						investigador
	preparada						investigadora
	preparado						invitado
	prestigiosa						jóvenes
	previsible						jubilado
	privilegiada						jurídica
	problemática						justificada
	profesional						justo
	profunda						laboral
	profundo						larga
	protagonista						lesionado
	puntual						leve
	querido						libres
	racista						licenciada
	radical						ligera
	rápida						ligero
	rápido						limpia
	rara						lisa
	raro						listo
	razonable						literario
	real						llamada
	realistas						llamado
	realizada						local
	realizado						locos
	rechazada						madura
	rechazado						manual
	recibida						marcada
	recomendable						marcado
	reconocida						máxima
	recto						mecánico
	relevante						media
	respetuoso						mediana
	responsable						médica
	responsables						medida
	sabio						medio
	sagrada						mejores
	sagrado						mental
	salvaje						minero
	selectiva						mínima
	selectivo						mínimo
	sensible						mismo
	seria						mixta
	severa						móvil
	significativa						móviles
	significativo						mudo
	social						muertos
	solicitada						mundial
	soltero						municipal
	sorprendente						musical
	sospechosa						nacido
	subjetivo						necesaria
	suicida						noble
	superficial						notable
	susceptible						nuevos
	territorial						nula
	terrorista						numerosas
	tonta						objetivo
	tonto						obligado
	tóxico						obrero
	trabajadora						olvidado
	tradicional						oportuna
	transparente						opuesto
	única						oscura
	único						oscuro
	útil						parcial
	válido						parecida
	valiente						pariente
	valioso						pasada
	valorada						pasado
	violenta						patria
	violento						penal
	vital						peor
	vivo						permanente
	vulgar						pintada
							pobres
							policial
							política
							político
							populares
							poquito
							preocupada
							preocupado
							presente
							preso
							primera
							principal
							principales
							privada
							privado
							productivo
							productor
							propia
							propio
							propios
							pública
							puesto
							pura
							puro
							química
							rápidos
							raros
							recientes
							redonda
							registrado
							regular
							relacionado
							relajado
							relativo
							rentable
							representativa
							resistente
							retirado
							ricos
							ridículo
							ritual
							robado
							rural
							sabroso
							sana
							sancionado
							sano
							santa
							satisfactorio
							satisfecho
							secreta
							secretario
							secundaria
							seguido
							segunda
							segundo
							sexual
							silencioso
							similar
							simple
							simples
							sociales
							socialista
							sola
							solo
							sólo
							sorprendida
							sorprendido
							suave
							sucio
							superado
							superior
							suprema
							supremo
							suspendido
							tardía
							técnica
							técnico
							temporal
							temprano
							tenso
							tenue
							terapéutico
							tercera
							tercero
							terrestre
							terrible
							tierno
							titulada
							torpe
							total
							tremenda
							tremendo
							uniforme
							universal
							universitaria
							universitario
							urbana
							urgente
							usada
							variable
							variado
							vasto
							vecina
							vecino
							verdadera
							verdadero
							verde
							veterano
							viable
							visitada
							visitante
							vista
							visto
							visual
							viva
							vocal

