???,count

[MASC]	 	[FEM]	[model_name]
43	<	46	BSC-TeMU/roberta-base-bne
22	>	21	BSC-TeMU/roberta-large-bne
61	>	53	dccuchile/bert-base-spanish-wwm-uncased
58	>	45	dccuchile/bert-base-spanish-wwm-cased
50	<	59	mrm8488/electricidad-base-generator
27	>	26	MMG/mlm-spanish-roberta-base
42	>	37	bertin-project/bertin-roberta-base-spanish
32	<	42	bert-base-multilingual-cased
29	<	30	bertin-project/bertin-base-random
45	>	39	bertin-project/bertin-base-stepwise
42	>	37	bertin-project/bertin-base-gaussian
35	<	40	bertin-project/bertin-base-random-exp-512seqlen
30	<	37	bertin-project/bertin-base-stepwise-exp-512seqlen
31	<	41	bertin-project/bertin-base-gaussian-exp-512seqlen
44	<	46	amine/bert-base-5lang-cased
38	<	46	Geotrend/bert-base-es-cased
24	>	22	BSC-TeMU/RoBERTalex
35	<	36	Recognai/distilbert-base-es-multilingual-cased
31	>	24	flax-community/alberti-bert-base-multilingual-cased
35	<	37	Geotrend/distilbert-base-es-cased
