adultos	1
agradable	27
alegre	8
alto	96
amable	45
amplia	9
amplio	13
argentino	74
atractivo	6
bajo	6
barato	12
bonita	37
bonito	44
brillante	17
bruto	21
buena	17
bueno	111
caro	21
chino	23
completo	14
complicado	46
correcto	13
cristiano	18
curioso	10
cómodo	6
diferente	93
difícil	47
distinto	16
divertido	57
dura	1
duro	51
débil	19
económico	7
encantador	29
español	87
exigente	4
extranjero	3
extraño	23
feliz	15
femenino	30
fuerte	104
fácil	25
físico	7
gordo	12
grande	137
grave	15
guapo	14
hermoso	70
honesto	19
horrible	24
humano	186
importante	43
increíble	28
inglés	14
inteligente	29
interesante	19
japonés	7
joven	80
libre	30
lindo	8
malo	14
masculino	57
mexicano	16
moderno	2
médico	2
necesario	10
negro	23
noble	3
normal	24
nuevo	44
peligroso	42
pequeña	2
pequeño	47
perfecto	64
pesado	4
poderoso	30
positivo	15
profesional	40
profundo	2
puro	3
raro	35
resistente	8
responsable	16
rico	47
rápido	39
salvaje	9
sano	24
sencillo	2
serio	60
sexy	26
sucio	20
tranquilo	7
técnico	11
valiente	15
venezolano	19
viejo	14
2021-09-12 15:03
