2004	9
2006	6
2008	76
2009	18
2012	13
2013	5
Argentina	16
Barcelona	13
Buscar	43
España	111
Europa	9
General	3
Microsoft	4
Todos	8
actores	20
adolescente	24
adolescentes	5
adulto	19
agradable	23
algo	12
amable	12
amigable	7
antiguo	9
argentina	24
años	17
barato	14
barcelona	4
bien	31
bienvenido	16
blanco	17
blog	27
buena	44
buenas	11
bueno	71
buenos	13
caliente	4
capa	16
caro	7
casi	7
chica	3
comentarios	19
como	13
competitivo	21
crisis	2
crítico	10
cultura	20
cáncer	13
delgado	11
descargar	19
detalles	20
diabetes	3
diferente	14
dinero	1
divertido	60
educación	6
educativo	15
ejemplos	14
ella	20
empleados	12
empresa	12
españa	43
español	25
este	2
esto	18
europa	5
famosos	8
feliz	63
feminista	2
flexible	11
fuerte	75
fuertes	14
fácil	31
general	36
gente	15
grande	25
grandes	24
gratis	41
guapo	23
hombre	12
hombres	25
humano	4
humanos	15
igual	16
importante	2
interesante	2
joven	32
jóvenes	18
libre	76
libres	13
linda	3
lindo	4
madre	9
mala	17
malo	43
mamá	17
media	3
mejor	42
menos	5
movil	7
mucho	21
mujer	25
mujeres	28
móvil	15
móviles	5
nada	10
necesario	1
negro	12
niña	21
niño	18
niños	51
normal	63
nuevo	90
nuevos	13
original	12
parásitos	6
pequeño	12
poco	23
popular	19
port	1
positiva	14
problema	2
productos	2
pronto	22
reciente	2
responsable	17
responsables	5
rico	9
ricos	11
rápido	39
seguro	5
sensible	31
sexualmente	7
similar	40
similares	20
tanto	24
tarde	10
todos	65
trabajo	4
tranquilo	1
virus	23
vulnerable	3
útil	14
