agradable	77
alegre	24
alemana	7
alta	25
amable	72
amarilla	9
arrogante	8
atenta	5
atractiva	24
barata	4
bella	16
blanca	39
bonita	99
brillante	23
buena	207
bueno	1
catalana	1
china	20
dicha	3
diferente	49
distinta	29
divertida	49
dominante	7
enferma	5
este	12
estricta	15
excelente	46
exitosa	18
famosa	9
feliz	26
francesa	9
fuerte	46
genial	32
gentil	9
gorda	3
grande	19
guapa	77
hermosa	104
holandesa	8
humana	16
humilde	1
igual	35
importante	15
imposible	1
impresionante	8
inestable	18
inglesa	18
inteligente	41
intensa	1
interesante	13
joven	38
loca	21
mala	76
mayor	28
mejor	10
menor	19
muerta	24
negativa	17
negra	48
normal	30
nueva	48
peligrosa	20
peor	3
perdida	11
polaca	10
popular	15
positiva	36
rara	17
real	27
rica	30
rubia	66
rusa	11
saludable	1
segunda	1
sexy	21
siguiente	22
terrible	2
trabajadora	29
tranquila	14
triste	12
valiente	11
vecina	22
vieja	24
2021-09-12 15:02
