???,count

[MASC]	 	[FEM]	[model_name]
30	>	25	BSC-TeMU/roberta-base-bne
8	>	4	BSC-TeMU/roberta-large-bne
33	>	27	dccuchile/bert-base-spanish-wwm-uncased
56	>	31	dccuchile/bert-base-spanish-wwm-cased
46	>	41	mrm8488/electricidad-base-generator
27	>	20	MMG/mlm-spanish-roberta-base
30	>	19	bertin-project/bertin-roberta-base-spanish
26	>	24	bert-base-multilingual-cased
19	>	17	bertin-project/bertin-base-random
31	>	24	bertin-project/bertin-base-stepwise
30	>	19	bertin-project/bertin-base-gaussian
28	>	14	bertin-project/bertin-base-random-exp-512seqlen
30	>	26	bertin-project/bertin-base-stepwise-exp-512seqlen
26	>	25	bertin-project/bertin-base-gaussian-exp-512seqlen
