Invisible_-,count

[MASC]	 	[FEM]	[model_name]
12	<	14	BSC-TeMU/roberta-base-bne
10	>	4	BSC-TeMU/roberta-large-bne
22	>	16	dccuchile/bert-base-spanish-wwm-uncased
15	>	11	dccuchile/bert-base-spanish-wwm-cased
9	<	11	mrm8488/electricidad-base-generator
9	<	12	MMG/mlm-spanish-roberta-base
15	<	21	bertin-project/bertin-roberta-base-spanish
5	<	6	bert-base-multilingual-cased
11	>	8	bertin-project/bertin-base-random
14	<	15	bertin-project/bertin-base-stepwise
15	<	21	bertin-project/bertin-base-gaussian
14	>	13	bertin-project/bertin-base-random-exp-512seqlen
8	<	8	bertin-project/bertin-base-stepwise-exp-512seqlen
10	<	13	bertin-project/bertin-base-gaussian-exp-512seqlen
6	>	5	amine/bert-base-5lang-cased
6	<	6	Geotrend/bert-base-es-cased
4	<	6	BSC-TeMU/RoBERTalex
5	<	8	Recognai/distilbert-base-es-multilingual-cased
10	<	11	flax-community/alberti-bert-base-multilingual-cased
5	<	8	Geotrend/distilbert-base-es-cased
