[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	172	100.0	21489	100.0	1.7725842275125225	100.0
[TMP]	4	2.3255813953488373	1316	6.124063474335706	0.060216049604531995	3.397076915720587
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	4	2.3255813953488373	54	0.2512913583693983	0.016150095383636653	0.9111045406457313
[QTY]	7	4.069767441860465	307	1.4286379077667644	0.06686252629428747	3.772036626328106
[PER]	6	3.488372093023256	341	1.5868583926660151	0.030531091549588985	1.722405687454042
[MIND]	6	3.488372093023256	668	3.108567173902927	0.05645455879037182	3.18487313122462
[FEEL]	8	4.651162790697675	1403	6.528921773930849	0.11097846463006655	6.260828845679354
[BODY]	21	12.209302325581396	6175	28.735632183908045	0.2869456536838675	16.18798414372331
[BEHA]	60	34.883720930232556	7705	35.85555400437433	0.7874416698006667	44.42337111989809
[???]	56	32.55813953488372	3520	16.380473730745962	0.35700411777550517	20.14031898932617
