[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	188	100.0	24966	100.0	1.7999433310437265	100.0
[TMP]	5	2.6595744680851063	743	2.9760474244973163	0.04045331805634002	2.247477315459843
[SPT]	1	0.5319148936170213	22	0.08811984298646158	0.00594540755264461	0.33031081868544543
[SOC]	7	3.723404255319149	268	1.073459905471441	0.045688619697466494	2.5383365636835467
[QTY]	4	2.127659574468085	1182	4.7344388368180725	0.047303646997684926	2.628063127423858
[PER]	5	2.6595744680851063	448	1.7944404389970359	0.027519611965638038	1.528915465893048
[MIND]	7	3.723404255319149	521	2.0868380998157496	0.04607046584158644	2.559550906242794
[FEEL]	11	5.851063829787234	2092	8.379395978530802	0.1941599789054614	10.787005099370244
[BODY]	17	9.042553191489361	4490	17.984458864055114	0.23066532459964623	12.81514371154625
[BEHA]	64	34.04255319148936	10113	40.507089641913005	0.6625537877224679	36.809702633153194
[???]	67	35.638297872340424	5087	20.375710966915005	0.49958316970479033	27.75549435854177
