[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	23	100.0	718	100.0	0.10573124951721789	100.0
[TMP]	1	4.3478260869565215	11	1.532033426183844	0.005148445256054401	4.869369537920763
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	0	0.0	0	0.0	0	0.0
[QTY]	0	0.0	0	0.0	0	0.0
[PER]	1	4.3478260869565215	6	0.8356545961002786	0.002402527956292033	2.272296948406716
[MIND]	0	0.0	0	0.0	0	0.0
[FEEL]	0	0.0	0	0.0	0	0.0
[BODY]	4	17.391304347826086	308	42.89693593314763	0.02127104861817012	20.11803389754343
[BEHA]	10	43.47826086956522	236	32.86908077994429	0.04228985446388833	39.997498049998555
[???]	7	30.434782608695652	157	21.866295264623954	0.03461937322281301	32.742801566130545
