[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	121	100.0	16876	100.0	1.1765741901203854	100.0
[TMP]	5	4.132231404958677	474	2.8087224460772693	0.03617414446088715	3.074531531002381
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	3	2.479338842975207	140	0.8295804693055226	0.01586598595086899	1.3484900556288426
[QTY]	0	0.0	0	0.0	0	0.0
[PER]	1	0.8264462809917356	64	0.3792367859682389	0.008746602184449634	0.7433957210598588
[MIND]	7	5.785123966942149	813	4.817492296752785	0.05710011635857977	4.853082520256319
[FEEL]	6	4.958677685950414	2549	15.104290116141266	0.10305382737884027	8.758804012885573
[BODY]	14	11.570247933884298	4275	25.33183218772221	0.20727275323143432	17.61663267577087
[BEHA]	43	35.53719008264463	6445	38.19032946195781	0.4332515078720503	36.823135464812516
[???]	42	34.710743801652896	2116	12.5385162360749	0.31510925268327505	26.78192801858364
