[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	144	100.0	17604	100.0	1.4443791176469059	100.00000000000001
[TMP]	6	4.166666666666667	524	2.9765962281299703	0.04399287877662211	3.0457985884130356
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	3	2.0833333333333335	169	0.9600090888434447	0.018700881310823286	1.2947349544411593
[QTY]	4	2.7777777777777777	74	0.4203590093160645	0.05742150149308145	3.9755145163431225
[PER]	2	1.3888888888888888	23	0.1306521245171552	0.010389520786702633	0.7193070475588573
[MIND]	6	4.166666666666667	869	4.9363780958872985	0.05199859361138185	3.6000654520742987
[FEEL]	8	5.555555555555555	1981	11.253124289934107	0.10372432987727906	7.181239925862429
[BODY]	11	7.638888888888889	3027	17.194955691888207	0.1649568684555612	11.420607404259545
[BEHA]	58	40.27777777777778	8478	48.15950920245399	0.6275289589602578	43.446277455367095
[???]	46	31.944444444444443	2459	13.968416269029765	0.3656655843751963	25.316454655680452
