[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	214	100.0	22818	100.0	2.9247385692375563	100.00000000000001
[TMP]	4	1.8691588785046729	625	2.7390656499254975	0.08007238288720449	2.7377620594677077
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	19	8.878504672897197	523	2.2920501358576564	0.32262445624219255	11.030881858486818
[QTY]	3	1.4018691588785046	56	0.24542028223332457	0.02276873297523707	0.7784878010882389
[PER]	5	2.336448598130841	425	1.8625646419493382	0.050224029002986156	1.7172143018607968
[MIND]	8	3.7383177570093458	1593	6.9813305285301075	0.14241251090978865	4.86923899481771
[FEEL]	15	7.009345794392523	2694	11.806468577438864	0.2685751754676154	9.182878028569565
[BODY]	16	7.4766355140186915	4861	21.303356998860547	0.30774843035227234	10.522254316648159
[BEHA]	67	31.30841121495327	8113	35.555263388552895	0.851125092748855	29.100894750081302
[???]	77	35.981308411214954	3928	17.214479796651766	0.8791877586514057	30.060387888979744
