[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	154	100.0	26548	100.0	1.5710282256030021	100.0
[TMP]	4	2.5974025974025974	1296	4.881723670332982	0.04838685397254793	3.079948099212271
[SPT]	0	0.0	0	0.0	0	0.0
[SOC]	2	1.2987012987012987	20	0.07533524182612626	0.008833960629999638	0.5623043867724865
[QTY]	4	2.5974025974025974	293	1.1036612927527498	0.06111764504263799	3.8902957977842454
[PER]	1	0.6493506493506493	4	0.015067048365225252	0.0038401817437261343	0.24443747611550207
[MIND]	7	4.545454545454546	1617	6.090854301642309	0.06759091301345432	4.302336005930838
[FEEL]	6	3.896103896103896	3490	13.145999698659033	0.0824373093379588	5.247347437460405
[BODY]	12	7.792207792207792	4030	15.180051227964443	0.13578835894516	8.643279397035712
[BEHA]	54	35.064935064935064	11316	42.62467982522224	0.6437223991899212	40.974591589074954
[???]	64	41.55844155844156	4482	16.882627693234895	0.5193106037275961	33.055459810613584
