BODY,count

[MASC]	 	[FEM]	[model_name]
17	<	20	BSC-TeMU/roberta-base-bne
11	<	14	BSC-TeMU/roberta-large-bne
16	<	18	dccuchile/bert-base-spanish-wwm-uncased
21	>	20	dccuchile/bert-base-spanish-wwm-cased
14	<	18	mrm8488/electricidad-base-generator
14	>	12	MMG/mlm-spanish-roberta-base
17	<	19	bertin-project/bertin-roberta-base-spanish
16	>	13	bert-base-multilingual-cased
16	<	21	bertin-project/bertin-base-random
21	>	19	bertin-project/bertin-base-stepwise
17	<	19	bertin-project/bertin-base-gaussian
21	<	22	bertin-project/bertin-base-random-exp-512seqlen
15	<	19	bertin-project/bertin-base-stepwise-exp-512seqlen
15	<	19	bertin-project/bertin-base-gaussian-exp-512seqlen
17	>	15	amine/bert-base-5lang-cased
18	>	15	Geotrend/bert-base-es-cased
9	<	10	BSC-TeMU/RoBERTalex
10	<	13	Recognai/distilbert-base-es-multilingual-cased
14	<	17	flax-community/alberti-bert-base-multilingual-cased
10	<	13	Geotrend/distilbert-base-es-cased
