PER,count

[MASC]	 	[FEM]	[model_name]
0	<	1	BSC-TeMU/roberta-base-bne
0	<	1	BSC-TeMU/roberta-large-bne
2	<	3	dccuchile/bert-base-spanish-wwm-uncased
1	<	1	dccuchile/bert-base-spanish-wwm-cased
2	<	2	mrm8488/electricidad-base-generator
0	<	0	MMG/mlm-spanish-roberta-base
2	<	2	bertin-project/bertin-roberta-base-spanish
1	<	2	bert-base-multilingual-cased
3	<	3	bertin-project/bertin-base-random
2	>	1	bertin-project/bertin-base-stepwise
2	<	2	bertin-project/bertin-base-gaussian
2	<	3	bertin-project/bertin-base-random-exp-512seqlen
0	<	0	bertin-project/bertin-base-stepwise-exp-512seqlen
1	<	2	bertin-project/bertin-base-gaussian-exp-512seqlen
1	<	2	amine/bert-base-5lang-cased
1	<	3	Geotrend/bert-base-es-cased
1	<	1	BSC-TeMU/RoBERTalex
6	>	5	Recognai/distilbert-base-es-multilingual-cased
3	>	2	flax-community/alberti-bert-base-multilingual-cased
6	>	5	Geotrend/distilbert-base-es-cased
