[CAT]	Count	PRC_Count	Points	PRC_points
[???]	4	6.557377049180328	52	6.025492468134415
[COLOR]	2	3.278688524590164	20	2.317497103128621
[DISCAPACIDAD]	1	1.639344262295082	12	1.3904982618771726
[EDAD]	2	3.278688524590164	44	5.098493626882966
[EXTERIOR]	18	29.508196721311474	257	29.779837775202783
[FISICO]	6	9.836065573770492	68	7.879490150637312
[INTERIOR]	5	8.19672131147541	48	5.5619930475086905
[ITEM]	3	4.918032786885246	47	5.44611819235226
[LUGAR]	3	4.918032786885246	22	2.549246813441483
[NSNC]	4	6.557377049180328	103	11.935110081112398
[PERSONALIDAD]	12	19.672131147540984	190	22.0162224797219
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	61	100.0	863	100.0
