[CAT]	Count	PRC_Count	Points	PRC_points
[???]	0	0.0	20	1.4306151645207439
[COLOR]	5	6.4935064935064934	102	7.296137339055794
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	3	3.896103896103896	36	2.575107296137339
[EXTERIOR]	29	37.66233766233766	569	40.701001430615165
[FISICO]	5	6.4935064935064934	108	7.725321888412017
[INTERIOR]	4	5.194805194805195	47	3.3619456366237483
[ITEM]	1	1.2987012987012987	24	1.7167381974248928
[LUGAR]	11	14.285714285714286	321	22.96137339055794
[NSNC]	8	10.38961038961039	39	2.7896995708154506
[PERSONALIDAD]	10	12.987012987012987	132	9.44206008583691
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	77	100.0	1398	100.0
