[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	139	100.0	2224	100.0	1.723174077632645	100.0
[???]	109	78.41726618705036	1768	79.49640287769785	1.2990261614489642	75.3856605847745
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	2	1.4388489208633093	13	0.5845323741007195	0.03380734783907731	1.961922958214587
Otros	2	1.4388489208633093	36	1.618705035971223	0.026817581383511424	1.5562897406369023
Logistica	1	0.7194244604316546	18	0.8093525179856115	0.019874539226293564	1.1533680482007878
Inst Manufac	4	2.8776978417266186	61	2.7428057553956835	0.033541568710158266	1.946499146286997
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	2	1.4388489208633093	7	0.3147482014388489	0.03221050929278135	1.8692545176302353
Func. Defen	2	1.4388489208633093	21	0.9442446043165468	0.028386428020894527	1.647333742386188
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	4	2.8776978417266186	55	2.473021582733813	0.05586098856292665	3.241749588043384
Construción	2	1.4388489208633093	51	2.2931654676258995	0.04416862928441592	2.5632134244438194
Comercio	1	0.7194244604316546	4	0.17985611510791366	0.00785092730075121	0.4556084845204426
CientTechProf	3	2.158273381294964	145	6.51978417266187	0.056066007847682786	3.2536473578286516
Arte Entret	5	3.597122302158273	37	1.6636690647482015	0.05485000048453609	3.183079480854939
Agric/Caza	0	0.0	0	0.0	0	0.0
Admin. Aux	2	1.4388489208633093	8	0.3597122302158273	0.030713388230651617	1.7823729261785735
