[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	71	100.0	2269	100.0	0.8427641073552713	100.00000000000001
[???]	65	91.54929577464789	2167	95.50462758924637	0.7801897090355688	92.57509927468661
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	0	0.0	0	0.0	0	0.0
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	1	1.408450704225352	23	1.0136624063464081	0.014812512090429664	1.7576106957038902
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	0	0.0	0	0.0	0	0.0
Educación	0	0.0	0	0.0	0	0.0
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	1	1.408450704225352	2	0.08814455707360071	0.006479145959019661	0.7687970930978846
Arte Entret	2	2.816901408450704	32	1.4103129131776113	0.015106529637705535	1.792497984413722
Agric/Caza	2	2.816901408450704	45	1.9832525341560159	0.026176210632547735	3.1059949520979098
Admin. Aux	0	0.0	0	0.0	0	0.0
