[CAT]	Count	PRC_Count	Points	PRC_points	Score	PRC_score
[_TOTAL]	83	100.0	2444	100.0	1.3633339115231238	100.0
[???]	62	74.6987951807229	799	32.69230769230769	0.7410057002846671	54.3524733025097
Sumin Agua	0	0.0	0	0.0	0	0.0
Salud Social	0	0.0	0	0.0	0	0.0
Otros	0	0.0	0	0.0	0	0.0
Logistica	0	0.0	0	0.0	0	0.0
Inst Manufac	1	1.2048192771084338	274	11.21112929623568	0.0436625314610345	3.202629311278151
Inmobiliarias	0	0.0	0	0.0	0	0.0
Inf Telco	0	0.0	0	0.0	0	0.0
Hosteleria	0	0.0	0	0.0	0	0.0
Func. Defen	2	2.4096385542168677	11	0.4500818330605565	0.033139598555862904	2.430776369293064
Finanzas	0	0.0	0	0.0	0	0.0
Emp Domest	1	1.2048192771084338	15	0.613747954173486	0.03529647116859754	2.588982117313002
Educación	2	2.4096385542168677	150	6.137479541734861	0.07404878614875285	5.431449003276472
Construción	0	0.0	0	0.0	0	0.0
Comercio	0	0.0	0	0.0	0	0.0
CientTechProf	2	2.4096385542168677	183	7.48772504091653	0.05480119444594796	4.019645809640558
Arte Entret	11	13.25301204819277	1002	40.99836333878887	0.35123959739781674	25.763284726440205
Agric/Caza	1	1.2048192771084338	7	0.2864157119476268	0.014840396121144295	1.0885371511491655
Admin. Aux	1	1.2048192771084338	3	0.12274959083469722	0.01529963593930006	1.1222222090996934
