[CAT]	Count	PRC_Count	Points	PRC_points
[???]	0	0.0	6	2.6548672566371683
[COLOR]	2	13.333333333333334	42	18.58407079646018
[DISCAPACIDAD]	0	0.0	0	0.0
[EDAD]	0	0.0	0	0.0
[EXTERIOR]	6	40.0	68	30.088495575221238
[FISICO]	2	13.333333333333334	20	8.849557522123893
[INTERIOR]	0	0.0	0	0.0
[ITEM]	1	6.666666666666667	38	16.8141592920354
[LUGAR]	2	13.333333333333334	36	15.929203539823009
[NSNC]	1	6.666666666666667	16	7.079646017699115
[PERSONALIDAD]	0	0.0	0	0.0
[RELIGION]	0	0.0	0	0.0
[_TOTAL]	15	100.0	226	100.0
